#size	time	papi	pfs	ndk
2	0	203	0	1
#size	time	papi	pfs	ndk
4	0	208	0	1
#size	time	papi	pfs	ndk
8	0	257	0	1
#size	time	papi	pfs	ndk
16	0	325	0	1
#size	time	papi	pfs	ndk
32	0	457	0	1
#size	time	papi	pfs	ndk
64	0	719	0	1
#size	time	papi	pfs	ndk
128	0	1236	0	1
#size	time	papi	pfs	ndk
256	0	2262	0	1
#size	time	papi	pfs	ndk
512	0	4308	0	1
#size	time	papi	pfs	ndk
1024	0	8417	0	1
#size	time	papi	pfs	ndk
2048	0	16612	0	1
#size	time	papi	pfs	ndk
4096	0	33008	0	1
#size	time	papi	pfs	ndk
8192	0	65834	16	1
#size	time	papi	pfs	ndk
16384	0	131343	32	1
#size	time	papi	pfs	ndk
32768	1	262417	64	1
#size	time	papi	pfs	ndk
65536	2	524566	128	1
#size	time	papi	pfs	ndk
131072	5	1048856	256	1
#size	time	papi	pfs	ndk
262144	11	2097434	512	1
#size	time	papi	pfs	ndk
524288	22	4194591	514	1
#size	time	papi	pfs	ndk
1048576	45	8388897	515	1
#size	time	papi	pfs	ndk
2097152	89	16777510	519	1
